Department,District,Business,Adress,Acceptance,Category,Sub-category,Contact,Instagram,Facebook,X,Website
Usulutan,Alegría,Gran Bonanza Hotel,"13.50755047790551, -88.4863540775163",Yes,Accommodation,Accommodations,2628-1146 7948-4474,,,,
Usulutan,Alegría,Gran Bonanza Steakhouse Alegria,"13.507850789266014, -88.48757328650684",Yes,Food & Beverage,Restaurants,7711-4450,,,,
San Miguel,Moncagua,Gran Bonanza Steakhuse Moncagua,"13.516869041828388, -88.26412100344481",Yes,Food & Beverage,Restaurants,7711-4451,,,,
Usulutan,Berlín,Café 303 Berlín,"13.500066902447767, -88.53008238995179",Yes,Food & Beverage,Restaurants,6147-4066,,,,
Usulutan,Berlín,Ceviches y cocteles Blanky,"13.500114049948454, -88.53015445232064",Yes,Food & Beverage,Restaurants,7610-2626,,,,
Usulutan,Berlín,Berlín Express Pizza,"13.496633702963162, -88.53008206111622",Yes,Food & Beverage,Restaurants,7599-5415,,,,
Usulutan,Berlín,Pupuseria Martita Parque Central de Berlín  ,"13.49827657914625, -88.53027823228062",Yes,Food & Beverage,Restaurants,-,,,,
Usulutan,Berlín,Ferreteria Mendez,"13.50207396896007, -88.52636220728118",No,Retail,Retailers,26055154,,,,
Usulutan,Berlín,Jose Fredy Cruz tienda de cosmeticos,"13.50131240936335, -88.52715614111668",No,Retail,Retailers,-,,,,
Usulutan,Berlín,Ferreteria Campos,"13.498443498649387, -88.52561118878815",No,Retail,Retailers,-,,,,
Usulutan,Berlín,Uno Berlin,"13.49903665198495, -88.524584304612",No,Other,Other vendors,-,,,,
Usulutan,Berlín,TALLER RM,"13.500386851384082, -88.52750788722774",No,Other,Other vendors,-,,,,
Usulutan,Berlín,La Cocina de Doña Silvia,"13.501663564551114, -88.52591280123427",No,Food & Beverage,Restaurants,60234528,,,,
Usulutan,Berlín,Pupusería Mami Katy,"13.498928098445823, -88.52857982609123",No,Food & Beverage,Restaurants,73948966,,,,
Usulutan,Berlín,Mr Fer Lavanderia,"13.49780348114387, -88.52840031480763",No,Other,Other vendors,75154160,,,,
Usulutan,Berlín,Panadería San Martín,"13.497476817473984, -88.52979537395363",No,Food & Beverage,Restaurants,26940721,,,,
Usulutan,Berlín,Taller Escobar,"13.497192544900305, -88.52549736076098",No,Food & Beverage,Restaurants,77400977,,,,
Usulutan,Berlín,Suculenta Vivero,"13.497399515309306, -88.52471520443409",No,Retail,Retailers,-,,,,
Usulutan,Berlín,Restaurante La Finquita,"13.499693633141783, -88.52209946842932",No,Food & Beverage,Restaurants,76070652,,,,
Usulutan,Berlín,Cabañita San José,"13.492800919230406, -88.52854016485652",No,Accommodation,Accommodations,-,,,,
Usulutan,Berlín,Quinta San José,"13.49164430384456, -88.53063918029602",No,Accommodation,Accommodations,78773345,,,,
Usulutan,Berlín,Hostal Café El Cedro,"13.491148609787889, -88.53346285582269",No,Accommodation,Accommodations,-,,,,
Morazan,Yoloaiquín,Helados Sarita Yoloaiquin,"13.76575313535831, -88.12530982108558",No,Food & Beverage,Restaurants,-,,,,
